ADM1_STATE,ADM1_Pcode,ADM2_COUNTY,ADM2_Pcode,Proxy GAM 2022
Central Equatoria,SS01,Juba,SS0101,9.4%
Central Equatoria,SS01,Kajo-Keji,SS0102,10.9%
Central Equatoria,SS01,Lainya,SS0103,10.9%
Central Equatoria,SS01,Morobo,SS0104,10.9%
Central Equatoria,SS01,Terekeka,SS0105,8.8%
Central Equatoria,SS01,Yei,SS0106,10.9%
Eastern Equatoria,SS02,Budi,SS0201,20.6%
Eastern Equatoria,SS02,Ikotos,SS0202,9.4%
Eastern Equatoria,SS02,Kapoeta East,SS0203,11.3%
Eastern Equatoria,SS02,Kapoeta North,SS0204,11.3%
Eastern Equatoria,SS02,Kapoeta South,SS0205,11.3%
Eastern Equatoria,SS02,Lafon,SS0206,22.3%
Eastern Equatoria,SS02,Magwi,SS0207,9.4%
Eastern Equatoria,SS02,Torit,SS0208,9.4%
Jonglei,SS03,Akobo,SS0301,25.5%
Jonglei,SS03,Ayod,SS0302,22.2%
Jonglei,SS03,Bor South,SS0303,22.3%
Jonglei,SS03,Canal/Pigi,SS0304,19.6%
Jonglei,SS03,Duk,SS0305,25.5%
Jonglei,SS03,Fangak,SS0306,22.2%
Jonglei,SS03,Nyirol,SS0307,19.6%
Jonglei,SS03,Pibor,SS0308,18.5%
Jonglei,SS03,Pochalla,SS0309,11.8%
Jonglei,SS03,Twic East,SS0310,20.7%
Jonglei,SS03,Uror,SS0311,25.5%
Lakes,SS04,Awerial,SS0401,13.4%
Lakes,SS04,Cueibet,SS0402,13.4%
Lakes,SS04,Rumbek Centre,SS0403,8.9%
Lakes,SS04,Rumbek East,SS0404,8.9%
Lakes,SS04,Rumbek North,SS0405,8.9%
Lakes,SS04,Wulu,SS0406,8.8%
Lakes,SS04,Yirol East,SS0407,13.4%
Lakes,SS04,Yirol West,SS0408,13.4%
Northern Bahr el Ghazal,SS05,Aweil Centre,SS0501,9.9%
Northern Bahr el Ghazal,SS05,Aweil East,SS0502,15.9%
Northern Bahr el Ghazal,SS05,Aweil North,SS0503,15.9%
Northern Bahr el Ghazal,SS05,Aweil South,SS0504,15.9%
Northern Bahr el Ghazal,SS05,Aweil West,SS0505,15.9%
Unity,SS06,Abiemnhom,SS0601,22.3%
Unity,SS06,Guit,SS0602,24.1%
Unity,SS06,Koch,SS0603,24.1%
Unity,SS06,Leer,SS0604,24.6%
Unity,SS06,Mayendit,SS0605,24.6%
Unity,SS06,Mayom,SS0606,25.9%
Unity,SS06,Panyijiar,SS0607,24.6%
Unity,SS06,Pariang,SS0608,22.3%
Unity,SS06,Rubkona,SS0609,26.9%
Upper Nile,SS07,Baliet,SS0701,22.6%
Upper Nile,SS07,Fashoda,SS0702,15.5%
Upper Nile,SS07,Longochuk,SS0703,17.5%
Upper Nile,SS07,Luakpiny/Nasir,SS0704,17.5%
Upper Nile,SS07,Maban,SS0705,22.6%
Upper Nile,SS07,Maiwut,SS0706,17.5%
Upper Nile,SS07,Malakal,SS0707,17.7%
Upper Nile,SS07,Manyo,SS0708,17.7%
Upper Nile,SS07,Melut,SS0709,22.6%
Upper Nile,SS07,Panyikang,SS0710,17.7%
Upper Nile,SS07,Renk,SS0711,27.1%
Upper Nile,SS07,Ulang,SS0712,17.5%
Warrap,SS08,Gogrial East,SS0801,18.3%
Warrap,SS08,Gogrial West,SS0802,18.3%
Warrap,SS08,Tonj East,SS0803,10.5%
Warrap,SS08,Tonj North,SS0804,10.5%
Warrap,SS08,Tonj South,SS0805,10.5%
Warrap,SS08,Twic,SS0806,18.3%
Western Bahr el Ghazal,SS09,Jur River,SS0901,9.9%
Western Bahr el Ghazal,SS09,Raja,SS0902,9.9%
Western Bahr el Ghazal,SS09,Wau,SS0903,9.9%
Western Equatoria,SS10,Ezo,SS1001,5.9%
Western Equatoria,SS10,Ibba,SS1002,4.3%
Western Equatoria,SS10,Maridi,SS1003,4.3%
Western Equatoria,SS10,Mundri East,SS1004,4.3%
Western Equatoria,SS10,Mundri West,SS1005,4.3%
Western Equatoria,SS10,Mvolo,SS1006,8.8%
Western Equatoria,SS10,Nagero,SS1007,9.9%
Western Equatoria,SS10,Nzara,SS1008,5.9%
Western Equatoria,SS10,Tambura,SS1009,9.9%
Western Equatoria,SS10,Yambio,SS1010,5.9%
