iso3,as_of_date,risk_score,prediction
ARM,2026-02-21,0.009386006476853519,0.04511499791442105
AUS,2026-02-21,0.01515666231077087,0.04511499791442105
AZE,2026-02-21,0.024125512944208675,0.04511499791442105
BHR,2026-02-21,0.034276305133991,0.04511499791442105
BIH,2026-02-21,0.00312866882561784,0.04511499791442105
BLM,2026-02-21,0.020892160329312428,0.04511499791442105
BLR,2026-02-21,0.0009038376607340427,0.04511499791442105
BMU,2026-02-21,0.00020857792170785605,0.04511499791442105
BRB,2026-02-21,0.01244514932856874,0.04511499791442105
CAF,2026-02-21,0.9236282999795669,0.8329589716239557
CMR,2026-02-21,0.23273420605434292,0.27677335701298944
CPV,2026-02-21,0.020645102986512072,0.04511499791442105
CRI,2026-02-21,0.053972433642697534,0.04511499791442105
CYM,2026-02-21,0.024751246709332247,0.04511499791442105
DJI,2026-02-21,0.08992764673193379,0.04511499791442105
ESH,2026-02-21,0.04046411681132406,0.04511499791442105
FJI,2026-02-21,0.024899593048017032,0.04511499791442105
GBR,2026-02-21,0.011263207772224225,0.04511499791442105
GNB,2026-02-21,0.16805888346479814,0.04511499791442105
GNQ,2026-02-21,0.10873862318369557,0.04511499791442105
GRL,2026-02-21,0.006396389599040916,0.04511499791442105
GUF,2026-02-21,0.02836659735226842,0.04511499791442105
HTI,2026-02-21,0.8487069462324148,0.9638170052260014
KGZ,2026-02-21,0.0367110751368044,0.04511499791442105
LBY,2026-02-21,0.04689863557265756,0.04511499791442105
LUX,2026-02-21,0.01731196750175205,0.04511499791442105
MNG,2026-02-21,0.028299963252305892,0.04511499791442105
MOZ,2026-02-21,0.43600163927619695,0.356267666672999
MSR,2026-02-21,0.0028505649300073653,0.04511499791442105
NIU,2026-02-21,0.01466998049345254,0.04511499791442105
PAN,2026-02-21,0.07281397257030718,0.04511499791442105
PHL,2026-02-21,0.060927249186349564,0.13177310051476895
PRI,2026-02-21,0.00778690907709329,0.04511499791442105
RWA,2026-02-21,0.10853230597660099,0.04511499791442105
SAU,2026-02-21,0.029479012934710315,0.04511499791442105
SOM,2026-02-21,0.9971810652018986,0.9365742458054807
SVN,2026-02-21,0.0031286180350506114,0.04511499791442105
SYR,2026-02-21,0.7062786669441912,0.7682668641321816
TKL,2026-02-21,0.05367405185282162,0.04511499791442105
TTO,2026-02-21,0.0575877842856337,0.04511499791442105
TUV,2026-02-21,0.011819415563445172,0.04511499791442105
TZA,2026-02-21,0.12625495787598345,0.1219563882982552
UZB,2026-02-21,0.04263976377775255,0.04511499791442105
VAT,2026-02-21,0.011749889589542555,0.04511499791442105
VGB,2026-02-21,0.015330082417102937,0.04511499791442105
WSM,2026-02-21,0.02558555839616367,0.04511499791442105
YEM,2026-02-21,0.6417097114892345,0.7675370542964252
ZMB,2026-02-21,0.11817484298933384,0.1219563882982552
